Model,Bore (mm),Rod (mm),Bearing Type,Standard Stroke (mm)
MGPA50-350Z,50,18,high_precision_ball_bushing,350
MGPA50-400Z,50,18,high_precision_ball_bushing,400
MGPM63-25Z,63,18,slide,25
MGPM63-50Z,63,18,slide,50
MGPM63-75Z,63,18,slide,75
MGPM63-100Z,63,18,slide,100
MGPM63-125Z,63,18,slide,125
MGPM63-150Z,63,18,slide,150
MGPM63-175Z,63,18,slide,175
MGPM63-200Z,63,18,slide,200
MGPM63-250Z,63,18,slide,250
MGPM63-300Z,63,18,slide,300
MGPM63-350Z,63,18,slide,350
MGPM63-400Z,63,18,slide,400
MGPL63-25Z,63,18,ball_bushing,25
MGPL63-50Z,63,18,ball_bushing,50
MGPL63-75Z,63,18,ball_bushing,75
MGPL63-100Z,63,18,ball_bushing,100
MGPL63-125Z,63,18,ball_bushing,125
MGPL63-150Z,63,18,ball_bushing,150
MGPL63-175Z,63,18,ball_bushing,175
MGPL63-200Z,63,18,ball_bushing,200
MGPL63-250Z,63,18,ball_bushing,250
MGPL63-300Z,63,18,ball_bushing,300
MGPL63-350Z,63,18,ball_bushing,350
MGPL63-400Z,63,18,ball_bushing,400
MGPA63-25Z,63,18,high_precision_ball_bushing,25
MGPA63-50Z,63,18,high_precision_ball_bushing,50
MGPA63-75Z,63,18,high_precision_ball_bushing,75
MGPA63-100Z,63,18,high_precision_ball_bushing,100
MGPA63-125Z,63,18,high_precision_ball_bushing,125
MGPA63-150Z,63,18,high_precision_ball_bushing,150
MGPA63-175Z,63,18,high_precision_ball_bushing,175
MGPA63-200Z,63,18,high_precision_ball_bushing,200
MGPA63-250Z,63,18,high_precision_ball_bushing,250
MGPA63-300Z,63,18,high_precision_ball_bushing,300
MGPA63-350Z,63,18,high_precision_ball_bushing,350
MGPA63-400Z,63,18,high_precision_ball_bushing,400
MGPM80-25Z,80,22,slide,25
MGPM80-50Z,80,22,slide,50
MGPM80-75Z,80,22,slide,75
MGPM80-100Z,80,22,slide,100
MGPM80-125Z,80,22,slide,125
MGPM80-150Z,80,22,slide,150
MGPM80-175Z,80,22,slide,175
MGPM80-200Z,80,22,slide,200
MGPM80-250Z,80,22,slide,250
MGPM80-300Z,80,22,slide,300
MGPM80-350Z,80,22,slide,350
MGPM80-400Z,80,22,slide,400
MGPL80-25Z,80,22,ball_bushing,25
MGPL80-50Z,80,22,ball_bushing,50
MGPL80-75Z,80,22,ball_bushing,75
MGPL80-100Z,80,22,ball_bushing,100
MGPL80-125Z,80,22,ball_bushing,125
MGPL80-150Z,80,22,ball_bushing,150
MGPL80-175Z,80,22,ball_bushing,175
MGPL80-200Z,80,22,ball_bushing,200
MGPL80-250Z,80,22,ball_bushing,250
MGPL80-300Z,80,22,ball_bushing,300
MGPL80-350Z,80,22,ball_bushing,350
MGPL80-400Z,80,22,ball_bushing,400
MGPA80-25Z,80,22,high_precision_ball_bushing,25
MGPA80-50Z,80,22,high_precision_ball_bushing,50
MGPA80-75Z,80,22,high_precision_ball_bushing,75
MGPA80-100Z,80,22,high_precision_ball_bushing,100
MGPA80-125Z,80,22,high_precision_ball_bushing,125
MGPA80-150Z,80,22,high_precision_ball_bushing,150
MGPA80-175Z,80,22,high_precision_ball_bushing,175
MGPA80-200Z,80,22,high_precision_ball_bushing,200
MGPA80-250Z,80,22,high_precision_ball_bushing,250
MGPA80-300Z,80,22,high_precision_ball_bushing,300
MGPA80-350Z,80,22,high_precision_ball_bushing,350
MGPA80-400Z,80,22,high_precision_ball_bushing,400
MGPM100-25Z,100,26,slide,25
MGPM100-50Z,100,26,slide,50
MGPM100-75Z,100,26,slide,75
MGPM100-100Z,100,26,slide,100
MGPM100-125Z,100,26,slide,125
MGPM100-150Z,100,26,slide,150
MGPM100-175Z,100,26,slide,175
MGPM100-200Z,100,26,slide,200
MGPM100-250Z,100,26,slide,250
MGPM100-300Z,100,26,slide,300
MGPM100-350Z,100,26,slide,350
MGPM100-400Z,100,26,slide,400
MGPL100-25Z,100,26,ball_bushing,25
MGPL100-50Z,100,26,ball_bushing,50
MGPL100-75Z,100,26,ball_bushing,75
MGPL100-100Z,100,26,ball_bushing,100
MGPL100-125Z,100,26,ball_bushing,125
MGPL100-150Z,100,26,ball_bushing,150
MGPL100-175Z,100,26,ball_bushing,175
MGPL100-200Z,100,26,ball_bushing,200
MGPL100-250Z,100,26,ball_bushing,250
MGPL100-300Z,100,26,ball_bushing,300
MGPL100-350Z,100,26,ball_bushing,350
MGPL100-400Z,100,26,ball_bushing,400
MGPA100-25Z,100,26,high_precision_ball_bushing,25
MGPA100-50Z,100,26,high_precision_ball_bushing,50
MGPA100-75Z,100,26,high_precision_ball_bushing,75
MGPA100-100Z,100,26,high_precision_ball_bushing,100
MGPA100-125Z,100,26,high_precision_ball_bushing,125
MGPA100-150Z,100,26,high_precision_ball_bushing,150
MGPA100-175Z,100,26,high_precision_ball_bushing,175
MGPA100-200Z,100,26,high_precision_ball_bushing,200
MGPA100-250Z,100,26,high_precision_ball_bushing,250
MGPA100-300Z,100,26,high_precision_ball_bushing,300
MGPA100-350Z,100,26,high_precision_ball_bushing,350
MGPA100-400Z,100,26,high_precision_ball_bushing,400
